Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1961","1961","t","6","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1962","1962","t","159","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1963","1963","t","1253","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1964","1964","t","859","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1965","1965","t","808","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1966","1966","t","718","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1967","1967","t","340","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1968","1968","t","1557","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1969","1969","t","1929","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1970","1970","t","3442","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1971","1971","t","5334","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1972","1972","t","9174","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1973","1973","t","24625","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1974","1974","t","38046","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1975","1975","t","80192","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1976","1976","t","68127","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1977","1977","t","90519","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1978","1978","t","105169","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1979","1979","t","115336","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1980","1980","t","132651","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1981","1981","t","168933","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1982","1982","t","277069","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1983","1983","t","366892","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1984","1984","t","557187","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1985","1985","t","615536","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1986","1986","t","751123","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1987","1987","t","856774","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1988","1988","t","1070722","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1989","1989","t","918553","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","2161","Soya bean oil","1990","1990","t","1143834","A","Official figure",""
